ID	adj.P.Val	P.Value	t	B	logFC	ORF	SPOT_ID
MTMR10	0.958	0.7940003	-0.26345	-5.6537	-0.02282028	MTMR10	
DNAJB13	0.958	0.7940082	-0.263439	-5.6537	-0.00778284	DNAJB13	
LOC643566	0.958	0.7940966	0.263324	-5.6538	0.00744007	LOC643566	
LOC100133167	0.958	0.794127	-0.263284	-5.6538	-0.0078052	LOC100133167	
PLA2G10	0.958	0.7941769	-0.263219	-5.6538	-0.0093721	PLA2G10	
HS.572073	0.958	0.7942078	0.263178	-5.6538	0.00917046	HS.572073	
HS.537217	0.958	0.7942475	0.263126	-5.6538	0.00839596	HS.537217	
ELF4	0.958	0.7943145	0.263038	-5.6538	0.02914239	ELF4	
LOC643813	0.958	0.7943212	0.26303	-5.6538	0.00662467	LOC643813	
C3ORF39	0.958	0.7943797	-0.262953	-5.6539	-0.023943	C3ORF39	
HS.48729	0.958	0.794421	0.262899	-5.6539	0.00908089	HS.48729	
LOC100130803	0.958	0.794467	0.262839	-5.6539	0.00897816	LOC100130803	
ADAMTS10	0.958	0.7944674	-0.262838	-5.6539	-0.00718763	ADAMTS10	
LOC100129273	0.958	0.7944716	0.262833	-5.6539	0.00748735	LOC100129273	
LOC652607	0.958	0.7945018	0.262793	-5.6539	0.01285698	LOC652607	
HS.565871	0.958	0.7945634	-0.262712	-5.6539	-0.00869694	HS.565871	
LOC100129602	0.958	0.7945637	-0.262712	-5.6539	-0.00723502	LOC100129602	
SLC2A6	0.958	0.7946063	0.262656	-5.6539	0.03474376	SLC2A6	
LOC100132552	0.958	0.7947045	-0.262528	-5.654	-0.00880762	LOC100132552	
ARX	0.958	0.7947076	-0.262523	-5.654	-0.00901098	ARX	
HS.60556	0.958	0.7947092	-0.262521	-5.654	-0.01029772	HS.60556	
RASAL1	0.958	0.7947179	0.26251	-5.654	0.00953514	RASAL1	
LOC654201	0.958	0.7948143	-0.262384	-5.654	-0.0084808	LOC654201	
GSTM5	0.958	0.7949351	-0.262226	-5.654	-0.0076046	GSTM5	
LOC283398	0.958	0.7950197	-0.262115	-5.6541	-0.00718719	LOC283398	
RASL10B	0.958	0.7950323	0.262098	-5.6541	0.00653704	RASL10B	
TCL1A	0.958	0.7950372	-0.262092	-5.6541	-0.04618328	TCL1A	
LOC100131514	0.958	0.7950638	0.262057	-5.6541	0.00488498	LOC100131514	
LOC100127925	0.958	0.7950718	0.262047	-5.6541	0.00712497	LOC100127925	
LOC652272	0.958	0.7950919	-0.26202	-5.6541	-0.00750576	LOC652272	
TNFRSF11A	0.958	0.7951129	-0.261993	-5.6541	-0.00649424	TNFRSF11A	
HS.565407	0.958	0.7951239	0.261978	-5.6541	0.01198649	HS.565407	
MFSD3	0.958	0.7951623	0.261928	-5.6541	0.01965174	MFSD3	
LOC728317	0.958	0.7951824	0.261902	-5.6541	0.0052025	LOC728317	
NF1	0.958	0.7952251	0.261846	-5.6541	0.00935683	NF1	
RNF141	0.958	0.7952943	0.261755	-5.6542	0.02450996	RNF141	
AVIL	0.958	0.7953098	0.261735	-5.6542	0.00609655	AVIL	
LOC100134272	0.958	0.7953422	-0.261693	-5.6542	-0.00741252	LOC100134272	
FLJ46361	0.958	0.7953529	-0.261679	-5.6542	-0.00571179	FLJ46361	
LOC645590	0.958	0.7953611	-0.261668	-5.6542	-0.01350727	LOC645590	
LOC645663	0.958	0.7954063	-0.261609	-5.6542	-0.00896033	LOC645663	
HS.579516	0.958	0.7954199	-0.261591	-5.6542	-0.00616708	HS.579516	
MRPL30	0.958	0.7954259	-0.261583	-5.6542	-0.01846029	MRPL30	
HS.552684	0.958	0.7954334	0.261573	-5.6542	0.00625696	HS.552684	
ROPN1	0.958	0.7954352	-0.261571	-5.6542	-0.00802434	ROPN1	
LOC654147	0.958	0.7954538	0.261546	-5.6542	0.0123892	LOC654147	
PPP5C	0.958	0.7954643	-0.261533	-5.6542	-0.00859793	PPP5C	
LOC642834	0.958	0.7955221	-0.261457	-5.6542	-0.0064624	LOC642834	
MEPE	0.958	0.7955263	0.261452	-5.6542	0.00654286	MEPE	
PPP2R3A	0.958	0.7955521	-0.261418	-5.6542	-0.00676076	PPP2R3A	
CACNA2D1	0.958	0.7955858	0.261374	-5.6542	0.00778078	CACNA2D1	
HS.577926	0.958	0.7956464	0.261294	-5.6543	0.00975907	HS.577926	
OR4A47	0.958	0.7957391	0.261173	-5.6543	0.01076612	OR4A47	
LOC642295	0.958	0.7957444	-0.261166	-5.6543	-0.00657579	LOC642295	
HS.259350	0.958	0.7957954	-0.261099	-5.6543	-0.01308127	HS.259350	
ANKRD32	0.958	0.7958324	-0.261051	-5.6543	-0.01590123	ANKRD32	
SYT12	0.958	0.7958882	0.260978	-5.6543	0.00954436	SYT12	
LOC645781	0.958	0.7958924	-0.260972	-5.6543	-0.00635133	LOC645781	
LOC392242	0.958	0.7959315	-0.260921	-5.6544	-0.00904984	LOC392242	
LOC732435	0.958	0.7960304	-0.260792	-5.6544	-0.00557209	LOC732435	
LOC100131888	0.958	0.796049	-0.260767	-5.6544	-0.01107899	LOC100131888	
LOC100132652	0.958	0.7960759	-0.260732	-5.6544	-0.01252196	LOC100132652	
LOC643923	0.958	0.7960952	-0.260707	-5.6544	-0.00801629	LOC643923	
LOC648699	0.958	0.7960994	0.260701	-5.6544	0.0069649	LOC648699	
LOC644299	0.958	0.7962007	-0.260569	-5.6544	-0.00946326	LOC644299	
ARNT2	0.958	0.7962065	0.260561	-5.6544	0.009308	ARNT2	
HS.116333	0.958	0.7962153	0.26055	-5.6544	0.01124654	HS.116333	
HS.560106	0.958	0.7962457	0.26051	-5.6545	0.00904192	HS.560106	
HS.545236	0.958	0.79627	0.260478	-5.6545	0.01477898	HS.545236	
IQCH	0.958	0.7962727	0.260475	-5.6545	0.00662936	IQCH	
SPAG1	0.958	0.7962789	0.260466	-5.6545	0.00581716	SPAG1	
C11ORF71	0.958	0.7962896	-0.260452	-5.6545	-0.01614568	C11ORF71	
LOC645487	0.958	0.7963043	-0.260433	-5.6545	-0.00610382	LOC645487	
ATP2B3	0.958	0.796366	-0.260352	-5.6545	-0.00601777	ATP2B3	
HS.122428	0.958	0.796393	-0.260317	-5.6545	-0.00947486	HS.122428	
KIT	0.958	0.7964052	0.260301	-5.6545	0.00604252	KIT	
MAT2B	0.958	0.7964091	0.260296	-5.6545	0.02599644	MAT2B	
NSUN4	0.958	0.7964192	0.260283	-5.6545	0.01888444	NSUN4	
STARD6	0.958	0.7964387	0.260257	-5.6545	0.00707495	STARD6	
FLJ45139	0.958	0.7964466	-0.260247	-5.6545	-0.00629662	FLJ45139	
TMEM126A	0.958	0.7965284	0.26014	-5.6545	0.01396348	TMEM126A	
OR1D2	0.958	0.7965297	0.260138	-5.6545	0.00857062	OR1D2	
LOC100131965	0.958	0.7965381	0.260127	-5.6545	0.00695913	LOC100131965	
LOC646449	0.958	0.7965531	0.260108	-5.6545	0.00879033	LOC646449	
PRELP	0.958	0.7966204	0.260019	-5.6546	0.00551179	PRELP	
SASS6	0.958	0.7966547	0.259975	-5.6546	0.00866222	SASS6	
CACNG8	0.958	0.796689	0.25993	-5.6546	0.00558711	CACNG8	
DNER	0.958	0.7966964	-0.25992	-5.6546	-0.00835127	DNER	
C20ORF132	0.958	0.7967358	-0.259869	-5.6546	-0.00516069	C20ORF132	
PTPRT	0.958	0.796753	0.259846	-5.6546	0.00703445	PTPRT	
TM2D1	0.958	0.7967905	-0.259797	-5.6546	-0.02220504	TM2D1	
ERAP2	0.958	0.796791	-0.259796	-5.6546	-0.11254654	ERAP2	
LOC727768	0.958	0.7967942	-0.259792	-5.6546	-0.02218157	LOC727768	
LOC407835	0.958	0.7968172	-0.259762	-5.6546	-0.02144034	LOC407835	
PION	0.958	0.7969378	0.259604	-5.6547	0.03283507	PION	
SEMA3G	0.958	0.7969414	-0.259599	-5.6547	-0.00740712	SEMA3G	
HNF1B	0.958	0.7969682	-0.259564	-5.6547	-0.00864045	HNF1B	
HS.552910	0.958	0.7970126	0.259506	-5.6547	0.0146789	HS.552910	
LOC100132276	0.958	0.7970148	0.259503	-5.6547	0.00639678	LOC100132276	
CFC1	0.958	0.7970194	-0.259497	-5.6547	-0.00571528	CFC1	
FOXK2	0.958	0.7970818	0.259416	-5.6547	0.00915724	FOXK2	
ST7OT2	0.958	0.7970961	0.259397	-5.6547	0.00957249	ST7OT2	
NLRP2	0.958	0.797103	-0.259388	-5.6547	-0.03530577	NLRP2	
AKAP14	0.958	0.7971055	0.259385	-5.6547	0.00375327	AKAP14	
PDZD2	0.958	0.7971304	0.259352	-5.6547	0.008739	PDZD2	
RPRD2	0.958	0.7972048	0.259255	-5.6547	0.01715744	RPRD2	
XAGE2B	0.958	0.7972879	0.259146	-5.6548	0.00828472	XAGE2B	
LOC730658	0.958	0.7972981	-0.259133	-5.6548	-0.00690877	LOC730658	
EIF4ENIF1	0.958	0.7973081	-0.25912	-5.6548	-0.01415862	EIF4ENIF1	
LOC100131257	0.958	0.7973496	0.259065	-5.6548	0.00662066	LOC100131257	
TTTY12	0.958	0.7973536	-0.25906	-5.6548	-0.00724161	TTTY12	
OR2M2	0.958	0.7974084	-0.258988	-5.6548	-0.00753986	OR2M2	
LOC646200	0.958	0.7974216	-0.258971	-5.6548	-0.00748608	LOC646200	
NCRNA00160	0.958	0.7974532	0.25893	-5.6548	0.01065556	NCRNA00160	
SPSB4	0.959	0.7975398	-0.258816	-5.6549	-0.00813056	SPSB4	
ASAH2B	0.959	0.7975774	0.258767	-5.6549	0.00554384	ASAH2B	
SNORD18A	0.959	0.7976268	0.258703	-5.6549	0.01187506	SNORD18A	
HS.577495	0.959	0.7976517	-0.25867	-5.6549	-0.00695755	HS.577495	
AMAC1L2	0.959	0.7976754	0.258639	-5.6549	0.00730981	AMAC1L2	
KISS1R	0.959	0.7977847	0.258496	-5.6549	0.01350307	KISS1R	
ZNF806	0.959	0.7978042	0.258471	-5.6549	0.00684466	ZNF806	
PRRX2	0.959	0.7978684	-0.258387	-5.655	-0.00596046	PRRX2	
SLC22A6	0.959	0.7978709	0.258383	-5.655	0.00787451	SLC22A6	
PVRIG	0.959	0.7981266	-0.258049	-5.655	-0.02944193	PVRIG	
PLXNA2	0.959	0.7981709	0.257991	-5.655	0.00543829	PLXNA2	
ZNF503	0.959	0.7982121	0.257937	-5.6551	0.03803263	ZNF503	
PRKCSH	0.959	0.7982295	0.257914	-5.6551	0.01310704	PRKCSH	
POMGNT1	0.959	0.7982798	0.257849	-5.6551	0.01586193	POMGNT1	
SLC38A5	0.959	0.7983526	0.257753	-5.6551	0.01613285	SLC38A5	
DKFZP779B1634	0.959	0.7983747	0.257724	-5.6551	0.00778831	DKFZP779B1634	
LOC286444	0.959	0.7983861	-0.25771	-5.6551	-0.01654775	LOC286444	
FLJ33534	0.959	0.7984509	0.257625	-5.6551	0.00828991	FLJ33534	
HS.545116	0.959	0.7984596	-0.257613	-5.6551	-0.0085155	HS.545116	
GDF1	0.959	0.7985228	-0.257531	-5.6552	-0.00645515	GDF1	
LOC653158	0.959	0.7985406	0.257507	-5.6552	0.02366677	LOC653158	
ZNF534	0.959	0.7985671	-0.257473	-5.6552	-0.0065578	ZNF534	
DKKL1	0.959	0.7985689	-0.25747	-5.6552	-0.00807861	DKKL1	
HS.22566	0.959	0.7985885	-0.257445	-5.6552	-0.0103755	HS.22566	
NXF5	0.959	0.7986004	-0.257429	-5.6552	-0.00781176	NXF5	
LOC127011	0.959	0.7986766	-0.25733	-5.6552	-0.00665856	LOC127011	
KIAA1632	0.959	0.7986851	0.257319	-5.6552	0.00861215	KIAA1632	
HMGB4	0.959	0.7987213	0.257271	-5.6552	0.00538112	HMGB4	
LOC643444	0.959	0.7987384	0.257249	-5.6552	0.00867831	LOC643444	
LOC648874	0.959	0.7987501	-0.257234	-5.6552	-0.00925624	LOC648874	
TPM3	0.959	0.7988533	-0.257099	-5.6553	-0.02478954	TPM3	
RCN1	0.959	0.7989342	-0.256993	-5.6553	-0.02186361	RCN1	
LOC100134240	0.959	0.7989504	0.256972	-5.6553	0.00759814	LOC100134240	
TACSTD2	0.959	0.7989763	-0.256938	-5.6553	-0.04475685	TACSTD2	
LOC729338	0.959	0.7990013	-0.256905	-5.6553	-0.00813947	LOC729338	
LOC645730	0.959	0.7990092	0.256895	-5.6553	0.00667364	LOC645730	
ZCCHC5	0.959	0.7990751	0.256809	-5.6553	0.00709388	ZCCHC5	
LOC100134055	0.959	0.7991329	0.256733	-5.6553	0.00738633	LOC100134055	
CHI3L2	0.959	0.7991645	-0.256692	-5.6554	-0.03569511	CHI3L2	
C15ORF58	0.959	0.7992398	-0.256593	-5.6554	-0.00885282	C15ORF58	
LOC100133714	0.959	0.7992466	-0.256584	-5.6554	-0.00744551	LOC100133714	
HS.380575	0.959	0.7992585	0.256569	-5.6554	0.00902183	HS.380575	
HS.546003	0.959	0.7992898	-0.256528	-5.6554	-0.00813999	HS.546003	
LOC641768	0.959	0.7993076	-0.256505	-5.6554	-0.13652051	LOC641768	
C1QTNF8	0.959	0.7993575	-0.256439	-5.6554	-0.00756369	C1QTNF8	
HS.16360	0.959	0.7994549	0.256312	-5.6554	0.00966433	HS.16360	
SETDB1	0.959	0.799554	-0.256182	-5.6555	-0.02717074	SETDB1	
GAL3ST2	0.959	0.7996686	-0.256033	-5.6555	-0.00770801	GAL3ST2	
OR1N2	0.959	0.7996695	0.256031	-5.6555	0.00549553	OR1N2	
LOC642411	0.959	0.7996777	0.256021	-5.6555	0.00765038	LOC642411	
C8ORF38	0.959	0.7996894	-0.256005	-5.6555	-0.01268633	C8ORF38	
LOC646570	0.959	0.7996938	-0.256	-5.6555	-0.00737172	LOC646570	
NCRNA00113	0.959	0.7997781	0.255889	-5.6555	0.01208928	NCRNA00113	
LOC440160	0.959	0.7998346	-0.255816	-5.6556	-0.03427173	LOC440160	
NPDC1	0.959	0.7998436	0.255804	-5.6556	0.01582566	NPDC1	
LOC100129522	0.959	0.7998759	-0.255762	-5.6556	-0.01193782	LOC100129522	
TAAR1	0.959	0.7998768	0.25576	-5.6556	0.0068054	TAAR1	
RERG	0.959	0.7998897	-0.255744	-5.6556	-0.0085726	RERG	
LOC653629	0.959	0.7998979	-0.255733	-5.6556	-0.00971028	LOC653629	
FBS1	0.959	0.7999197	-0.255704	-5.6556	-0.02476996	FBS1	
NME1-NME2	0.959	0.7999204	0.255703	-5.6556	0.02056333	NME1-NME2	
RWDD2A	0.959	0.7999503	0.255664	-5.6556	0.01809562	RWDD2A	
HS.575097	0.959	0.7999759	-0.255631	-5.6556	-0.00799201	HS.575097	
LOC284009	0.959	0.7999961	0.255604	-5.6556	0.00654315	LOC284009	
DLG3	0.959	0.8000471	-0.255538	-5.6556	-0.00715156	DLG3	
LOC645073	0.959	0.8000743	-0.255502	-5.6556	-0.00835298	LOC645073	
DCAMKL3	0.959	0.8002055	0.255331	-5.6557	0.007044	DCAMKL3	
LOC730877	0.959	0.8002171	-0.255316	-5.6557	-0.01021793	LOC730877	
LOC642355	0.959	0.8002406	0.255285	-5.6557	0.00849216	LOC642355	
LOC100134370	0.959	0.8002623	-0.255256	-5.6557	-0.00903039	LOC100134370	
DYTN	0.959	0.8002697	-0.255247	-5.6557	-0.00753769	DYTN	
FAM104A	0.959	0.8002739	0.255241	-5.6557	0.02039527	FAM104A	
MGRN1	0.959	0.8003319	-0.255166	-5.6557	-0.02590423	MGRN1	
LOC727945	0.959	0.8004666	0.25499	-5.6558	0.00559318	LOC727945	
LOC643283	0.959	0.8005114	0.254931	-5.6558	0.0077936	LOC643283	
OR9Q2	0.959	0.8005128	-0.254929	-5.6558	-0.00696903	OR9Q2	
CYP4F8	0.959	0.8005473	0.254884	-5.6558	0.00975875	CYP4F8	
LOC642110	0.959	0.8005867	-0.254833	-5.6558	-0.00950027	LOC642110	
HS.554274	0.959	0.8006145	-0.254796	-5.6558	-0.00736346	HS.554274	
NR2E1	0.959	0.8006203	0.254789	-5.6558	0.00663482	NR2E1	
HS.379382	0.959	0.8006534	0.254745	-5.6558	0.00720044	HS.379382	
LOC100128916	0.959	0.8006925	0.254694	-5.6558	0.00728252	LOC100128916	
LOC440422	0.959	0.8007276	-0.254649	-5.6558	-0.00499885	LOC440422	
LSM1	0.959	0.8008002	0.254554	-5.6559	0.01067748	LSM1	
HS.540342	0.959	0.8008015	0.254552	-5.6559	0.00905276	HS.540342	
SCAND3	0.959	0.8008189	-0.254529	-5.6559	-0.00431516	SCAND3	
DMRTB1	0.959	0.8008596	-0.254476	-5.6559	-0.00778762	DMRTB1	
TPRG1	0.959	0.8008669	-0.254466	-5.6559	-0.00922109	TPRG1	
HS.555208	0.959	0.8009047	-0.254417	-5.6559	-0.02000938	HS.555208	
SYDE1	0.959	0.8009149	-0.254404	-5.6559	-0.00894479	SYDE1	
ZNF568	0.959	0.8009182	0.254399	-5.6559	0.00835349	ZNF568	
SMEK1	0.959	0.8009349	0.254378	-5.6559	0.00926161	SMEK1	
LOC649280	0.959	0.8009381	-0.254373	-5.6559	-0.00932856	LOC649280	
FSHR	0.959	0.8009406	0.25437	-5.6559	0.00508075	FSHR	
CEP152	0.96	0.8010402	0.25424	-5.6559	0.01253991	CEP152	
LOC729154	0.96	0.8010478	0.25423	-5.6559	0.00664014	LOC729154	
C20ORF96	0.96	0.8010543	0.254222	-5.6559	0.00563283	C20ORF96	
MIR320B2	0.96	0.8010926	0.254172	-5.6559	0.00714933	MIR320B2	
LOC644001	0.96	0.8010941	0.25417	-5.6559	0.01518179	LOC644001	
PRKG2	0.96	0.801126	-0.254128	-5.656	-0.00814957	PRKG2	
IKBKAP	0.96	0.8011443	-0.254104	-5.656	-0.00854073	IKBKAP	
LOC651916	0.96	0.8011884	0.254046	-5.656	0.01016849	LOC651916	
TCIRG1	0.96	0.8012836	0.253922	-5.656	0.03166684	TCIRG1	
HS.151207	0.96	0.801294	0.253908	-5.656	0.0085646	HS.151207	
LOC649826	0.96	0.8014488	0.253706	-5.6561	0.00710155	LOC649826	
LPAR5	0.96	0.8014621	0.253689	-5.6561	0.03929422	LPAR5	
CD3D	0.96	0.8014809	0.253664	-5.6561	0.01861633	CD3D	
HS.127148	0.96	0.801517	-0.253617	-5.6561	-0.01081727	HS.127148	
SPRR1A	0.96	0.8015506	0.253573	-5.6561	0.01755512	SPRR1A	
HS.564150	0.96	0.8015571	0.253565	-5.6561	0.00996737	HS.564150	
FLJ46363	0.96	0.8015606	-0.25356	-5.6561	-0.0075142	FLJ46363	
TSGA13	0.96	0.8016105	0.253495	-5.6561	0.00649599	TSGA13	
LOC648876	0.96	0.801642	0.253454	-5.6561	0.0099204	LOC648876	
SNHG6	0.96	0.8016499	0.253443	-5.6561	0.01523282	SNHG6	
HOXD9	0.96	0.8016719	-0.253415	-5.6561	-0.00650968	HOXD9	
LOC221710	0.96	0.8016889	0.253392	-5.6561	0.0348843	LOC221710	
LOC649616	0.96	0.8017482	-0.253315	-5.6561	-0.00906309	LOC649616	
C6ORF15	0.96	0.8017798	-0.253274	-5.6562	-0.00726716	C6ORF15	
DJ222E13.2	0.96	0.801794	0.253255	-5.6562	0.01392851	DJ222E13.2	
LOC100130054	0.96	0.8018126	0.253231	-5.6562	0.00571547	LOC100130054	
ACAN	0.96	0.801867	0.25316	-5.6562	0.00616522	ACAN	
OR10G9	0.96	0.8018852	0.253136	-5.6562	0.00775142	OR10G9	
LOC645183	0.96	0.801889	0.253131	-5.6562	0.011773	LOC645183	
SIK3	0.96	0.8019066	-0.253108	-5.6562	-0.01530015	SIK3	
UCKL1	0.96	0.8019521	0.253049	-5.6562	0.02058899	UCKL1	
M160	0.96	0.8019848	0.253006	-5.6562	0.00769109	M160	
LOC645871	0.96	0.802091	0.252867	-5.6562	0.00849217	LOC645871	
LOC651189	0.96	0.8020919	-0.252866	-5.6562	-0.00744303	LOC651189	
TBXA2R	0.96	0.8020929	-0.252865	-5.6562	-0.01435526	TBXA2R	
DVL2	0.96	0.8020996	0.252856	-5.6562	0.02073401	DVL2	
OR52N2	0.96	0.802146	0.252795	-5.6563	0.00892553	OR52N2	
HS.385619	0.96	0.8022166	-0.252703	-5.6563	-0.00784178	HS.385619	
GTF2IRD2B	0.96	0.802292	-0.252605	-5.6563	-0.01641969	GTF2IRD2B	
GFI1B	0.96	0.8023472	0.252533	-5.6563	0.05894865	GFI1B	
HS.550822	0.96	0.8023996	0.252464	-5.6563	0.00983485	HS.550822	
PLCD4	0.96	0.802407	0.252454	-5.6563	0.00708077	PLCD4	
SNAR-I	0.96	0.8024194	0.252438	-5.6563	0.00727656	SNAR-I	
SNORA71B	0.96	0.8024366	-0.252416	-5.6563	-0.00681788	SNORA71B	
MIR101-1	0.96	0.8024491	-0.2524	-5.6564	-0.00650235	MIR101-1	
LOC441584	0.96	0.8024797	-0.25236	-5.6564	-0.00859644	LOC441584	
LOC390705	0.96	0.8024844	-0.252353	-5.6564	-0.00864212	LOC390705	
LOC642111	0.96	0.8026274	-0.252167	-5.6564	-0.00721673	LOC642111	
POU2F1	0.96	0.8026862	-0.25209	-5.6564	-0.01399234	POU2F1	
MS4A10	0.96	0.802687	-0.252089	-5.6564	-0.00605634	MS4A10	
HS.565151	0.96	0.8027078	0.252062	-5.6564	0.01154938	HS.565151	
C10ORF21	0.96	0.8027243	-0.25204	-5.6564	-0.0102747	C10ORF21	
STOM	0.96	0.8027488	-0.252008	-5.6564	-0.02314978	STOM	
LOC100132091	0.96	0.8028138	0.251923	-5.6565	0.00877168	LOC100132091	
GRID2	0.96	0.8028246	-0.251909	-5.6565	-0.00943019	GRID2	
LOC100131755	0.96	0.802881	0.251835	-5.6565	0.00556885	LOC100131755	
HS.238996	0.96	0.8029194	0.251785	-5.6565	0.00654229	HS.238996	
LOC650634	0.96	0.802933	0.251768	-5.6565	0.00754651	LOC650634	
APLF	0.96	0.8029744	0.251713	-5.6565	0.00686146	APLF	
NCOR1	0.96	0.8029891	-0.251694	-5.6565	-0.02018382	NCOR1	
LOC651959	0.96	0.803022	-0.251651	-5.6565	-0.0073991	LOC651959	
LOC644133	0.96	0.8030471	-0.251619	-5.6565	-0.00918465	LOC644133	
LOC642633	0.96	0.8030775	0.251579	-5.6565	0.0071301	LOC642633	
HS.567461	0.96	0.8031394	0.251498	-5.6566	0.00891413	HS.567461	
TMPRSS13	0.96	0.8031714	0.251456	-5.6566	0.01300634	TMPRSS13	
LOC642356	0.96	0.8031958	0.251424	-5.6566	0.00799756	LOC642356	
LOC100134814	0.96	0.8032367	-0.251371	-5.6566	-0.00914813	LOC100134814	
LOC641945	0.96	0.8032622	0.251338	-5.6566	0.00667884	LOC641945	
SLC22A12	0.96	0.8032903	-0.251301	-5.6566	-0.00657464	SLC22A12	
HS.543219	0.96	0.8032925	-0.251298	-5.6566	-0.00804915	HS.543219	
LOC646674	0.96	0.8033861	-0.251176	-5.6566	-0.02859682	LOC646674	
IREB2	0.96	0.8034459	-0.251098	-5.6567	-0.0175194	IREB2	
HS.543340	0.96	0.8035416	-0.250973	-5.6567	-0.00910517	HS.543340	
ZNF846	0.96	0.8035904	0.250909	-5.6567	0.00794204	ZNF846	
DUX1	0.96	0.8036063	-0.250889	-5.6567	-0.00881095	DUX1	
LOC653547	0.96	0.8036127	-0.25088	-5.6567	-0.00619182	LOC653547	
OR6K3	0.96	0.8036398	-0.250845	-5.6567	-0.01172695	OR6K3	
LOC646951	0.96	0.8036552	0.250825	-5.6567	0.00546461	LOC646951	
IMPG2	0.96	0.8037091	-0.250754	-5.6567	-0.00889818	IMPG2	
LOC645600	0.96	0.8037166	0.250744	-5.6567	0.01032624	LOC645600	
HS.249577	0.96	0.803745	0.250707	-5.6567	0.00799037	HS.249577	
FLJ32310	0.96	0.803818	-0.250612	-5.6568	-0.00792778	FLJ32310	
OR2AK2	0.96	0.8038434	-0.250579	-5.6568	-0.00756094	OR2AK2	
SHB	0.96	0.8038528	-0.250567	-5.6568	-0.01787178	SHB	
ULBP3	0.96	0.8038651	-0.250551	-5.6568	-0.00846618	ULBP3	
ZNF718	0.96	0.8038766	0.250536	-5.6568	0.00662751	ZNF718	
IL27	0.96	0.803902	-0.250502	-5.6568	-0.01508908	IL27	
LOC651868	0.96	0.8039366	-0.250457	-5.6568	-0.00757673	LOC651868	
LOC731670	0.96	0.8039912	0.250386	-5.6568	0.00914009	LOC731670	
ZMYM5	0.96	0.8040085	-0.250363	-5.6568	-0.02071729	ZMYM5	
LOC100129596	0.96	0.8040424	-0.250319	-5.6568	-0.00829217	LOC100129596	
FLJ40125	0.96	0.8040527	0.250306	-5.6568	0.01177821	FLJ40125	
DPH5	0.96	0.8040559	0.250302	-5.6568	0.02294413	DPH5	
FAM86C	0.96	0.8040739	0.250278	-5.6568	0.01517807	FAM86C	
IL13RA2	0.96	0.8041276	0.250208	-5.6569	0.00754489	IL13RA2	
LOC100132356	0.96	0.804128	-0.250207	-5.6569	-0.00507971	LOC100132356	
TMEM38B	0.96	0.8041557	0.250171	-5.6569	0.01250986	TMEM38B	
NFATC1	0.96	0.8041613	-0.250164	-5.6569	-0.01172634	NFATC1	
LOC415056	0.96	0.8041701	-0.250153	-5.6569	-0.01209289	LOC415056	
ZNF205	0.96	0.804189	-0.250128	-5.6569	-0.0070283	ZNF205	
LOC644756	0.96	0.8042082	-0.250103	-5.6569	-0.00731131	LOC644756	
GBP1	0.96	0.8043039	-0.249978	-5.6569	-0.05048758	GBP1	
ASB7	0.96	0.8043066	-0.249974	-5.6569	-0.01571844	ASB7	
LOC100128088	0.96	0.8043415	0.249929	-5.6569	0.00825132	LOC100128088	
DCTN6	0.96	0.8043781	-0.249881	-5.6569	-0.01912587	DCTN6	
LGI4	0.96	0.8044426	0.249797	-5.6569	0.00834326	LGI4	
LOC728531	0.96	0.8044473	0.249791	-5.657	0.00564558	LOC728531	
FAM136A	0.96	0.8045248	0.24969	-5.657	0.01376252	FAM136A	
LOC649813	0.96	0.8045677	0.249634	-5.657	0.0080722	LOC649813	
C21ORF84	0.96	0.8046671	0.249504	-5.657	0.00717231	C21ORF84	
RNF166	0.96	0.8047064	-0.249453	-5.657	-0.03260956	RNF166	
LOC100131477	0.96	0.804715	0.249441	-5.657	0.00654753	LOC100131477	
PPP1R3B	0.96	0.8047444	-0.249403	-5.657	-0.00738251	PPP1R3B	
ERCC3	0.96	0.8047526	-0.249392	-5.657	-0.03412584	ERCC3	
HS.573029	0.96	0.8047609	-0.249381	-5.657	-0.00694772	HS.573029	
KCNMB4	0.96	0.8048059	0.249323	-5.6571	0.01597979	KCNMB4	
KLRF1	0.96	0.8048105	-0.249317	-5.6571	-0.04111449	KLRF1	
LOC100132829	0.96	0.8048179	0.249307	-5.6571	0.0105414	LOC100132829	
FLJ32790	0.96	0.804832	0.249289	-5.6571	0.00759445	FLJ32790	
LOC647015	0.96	0.8048699	0.249239	-5.6571	0.00778855	LOC647015	
GAGE2E	0.96	0.8049402	0.249147	-5.6571	0.00675325	GAGE2E	
LOC653806	0.96	0.8049836	0.249091	-5.6571	0.00897922	LOC653806	
RHOBTB3	0.96	0.8050308	-0.249029	-5.6571	-0.0178542	RHOBTB3	
AMOTL1	0.96	0.8051623	0.248858	-5.6572	0.00752281	AMOTL1	
BTF3L1	0.96	0.8052014	-0.248807	-5.6572	-0.0083131	BTF3L1	
MIR1229	0.96	0.8052139	0.24879	-5.6572	0.01146051	MIR1229	
KPNA4	0.96	0.805299	-0.248679	-5.6572	-0.01375072	KPNA4	
TNFSF9	0.96	0.8053078	-0.248668	-5.6572	-0.02611212	TNFSF9	
LOC339760	0.96	0.8053495	0.248613	-5.6572	0.0097737	LOC339760	
NEU4	0.96	0.8053538	0.248608	-5.6572	0.041513	NEU4	
